time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
-0.000119,0.004534494,-0.026959439,-0.000200379,0.036351452,0.016047983
-0.000118,0.005782974,-0.014474589,0.001672347,0.014502982,0.013551023
-0.000117,0.010776894,-0.009792789,0.005417799,0.001393942,0.006060143
-0.000116,0.002037534,0.007373861,-0.002073105,-0.013900008,-0.003927723
-0.000115,-0.007950266,0.013616261,0.001672347,-0.000790912,0.001066207
-0.000114,-0.011695866,0.005813251,0.005417799,0.005763622,0.011054063
-0.000113,-0.001707946,-0.001989769,-0.005818569,-0.002975752,0.006060143
-0.000112,0.010776894,-0.011353389,-0.017054889,-0.000790912,0.001066207
-0.000111,0.010776894,-0.023838239,-0.005818569,-0.000790912,-0.003927723
-0.00011,0.004534494,-0.022277639,0.007290519,0.005763622,0.008557103
-0.000109,-0.007950266,-0.017595789,-0.000200379,-0.000790912,0.018544943
-0.000108,-0.006701866,-0.003550389,-0.003945849,-0.01171514,0.018544943
-0.000107,-0.005453386,0.001131441,-0.020800329,-0.009530293,-0.003927723
-0.000106,-0.007950266,0.018298061,-0.017054889,-0.002975752,-0.013915617
-0.000105,-0.006701866,0.024540511,-0.005818569,-0.002975752,-0.003927723
-0.000104,-0.005453386,0.019858711,0.001672347,0.010133302,-0.001430753
-0.000103,0.010776894,0.016737461,-0.002073105,0.003578782,-0.013915617
-0.000102,0.017019334,0.026101111,0.009163251,-0.0051606,-0.011418625
-0.000101,0.012025374,0.018298061,0.009163251,-0.000790912,-0.011418625
-0.0001,0.009528414,-0.005110989,-0.003945849,0.001393942,0.006060143
-0.000099,0.005782974,-0.026959439,-0.018927609,-0.009530293,-0.003927723
-0.000098,0.007031454,-0.020717039,-0.011436729,-0.01171514,-0.016412577
-0.000097,0.003286014,-0.003550389,0.005417799,-0.018269688,-0.018909537
-0.000096,0.008279934,-0.001989769,0.014781411,-0.020454528,-0.013915617
-0.000095,0.012025374,-0.003550389,0.009163251,-0.0051606,0.011054063
-0.000094,0.003286014,0.004252651,0.003545072,0.016687822,0.013551023
-0.000093,-0.005453386,-0.006671589,-0.002073105,0.018872732,0.011054063
